210.11;29.867
234.74;29.231
262.25;2.839
293;27.461
327.36;25.778
365.73;24.815
408.59;24.533
457.59;23.473
508.02;22.672
570.76;21.658
636.59;20.921
710.2;20.023
794.59;19.493
887.96;1.869
988.08;17.761
1108.1;17.172
1238;16.499
1383.1;15.806
1545.3;1.522
1726.5;14.629
1932.7;13.857
2155;13.294
2407.7;1.261
2690;1.204
3005.4;11.524
3357.8;11.015
3751.4;10.521
4181.3;0.99626
4682.7;0.94931
5219.1;0.92046
5849.3;0.87637
6530.4;0.83003
7278.6;0.79342
8143.7;0.75766
9100.7;0.72143
9988.8;0.69235
198.72;30.073